group,rel,size,category,summary,has_ip,ips_join,outdated_ips_join,outdated_count,secret_flag,keywords_join
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/1eb8c521bb1cae49@v1,1676,other,Other file,False,,,0,0,
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/258958b77623092a@v1,9408,other,Other file,True,"192.168.1.203,192.168.1.244,192.168.1.250",,0,0,"hydra-mcp,litellm,letta,qdrant,prometheus,grafana,tabbyapi,ollama,comfyui,n8n,redis,postgres"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/258958b77623092a@v2,9917,other,Other file,True,"192.168.1.203,192.168.1.244,192.168.1.250",,0,1,"hydra-mcp,litellm,letta,qdrant,prometheus,grafana,tabbyapi,ollama,comfyui,n8n,redis,postgres"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/258958b77623092a@v3,27647,other,Other file,True,"192.168.1.113,192.168.1.124,192.168.1.158,192.168.1.159,192.168.1.166,192.168.1.172,192.168.1.203,192.168.1.210,192.168.1.244,192.168.1.245,192.168.1.250,192.168.1.251,192.168.1.36,192.168.1.49,192.168.1.81,192.168.1.96","192.168.1.113,192.168.1.124,192.168.1.158,192.168.1.159,192.168.1.166,192.168.1.172,192.168.1.210,192.168.1.245,192.168.1.251,192.168.1.36,192.168.1.49,192.168.1.81,192.168.1.96",13,0,"litellm,letta,qdrant,prometheus,grafana,alertmanager,dcgm,tabbyapi,ollama,comfyui,n8n,redis,postgres,firecrawl,searxng,sillytavern,kokoro"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/258958b77623092a@v4,27902,other,Other file,True,"192.168.1.113,192.168.1.124,192.168.1.158,192.168.1.159,192.168.1.166,192.168.1.172,192.168.1.203,192.168.1.210,192.168.1.244,192.168.1.245,192.168.1.250,192.168.1.251,192.168.1.36,192.168.1.49,192.168.1.81,192.168.1.96","192.168.1.113,192.168.1.124,192.168.1.158,192.168.1.159,192.168.1.166,192.168.1.172,192.168.1.210,192.168.1.245,192.168.1.251,192.168.1.36,192.168.1.49,192.168.1.81,192.168.1.96",13,0,"hydra-mcp,litellm,letta,qdrant,prometheus,grafana,alertmanager,tabbyapi,ollama,comfyui,n8n,redis,postgres,firecrawl,searxng,sillytavern,kokoro"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/28758f1acb55dd5d@v1,2040,other,Other file,True,192.168.1.244,,0,0,letta
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/2a741ebb91befacf@v1,11909,other,Other file,False,,,0,0,
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/2a741ebb91befacf@v2,12251,other,Other file,False,,,0,0,
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/2c058679f652ad30@v1,1374,other,Other file,False,,,0,0,"litellm,letta,qdrant,prometheus"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/2ca5337429f24674@v1,12434,other,Other file,True,192.168.1.244,,0,0,"litellm,letta,qdrant,prometheus,grafana,alertmanager,tabbyapi,ollama,comfyui,n8n,redis,postgres,open-webui"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/2ca5337429f24674@v2,12992,other,Other file,True,192.168.1.244,,0,0,"litellm,letta,qdrant,prometheus,grafana,alertmanager,tabbyapi,ollama,comfyui,n8n,redis,postgres,open-webui"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/30622ddd05f61d0e@v1,4095,other,Other file,True,"192.168.1.0,192.168.1.203,192.168.1.244,192.168.1.250",,0,0,"hydra-mcp,letta,qdrant,prometheus,alertmanager,tabbyapi,ollama"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/30622ddd05f61d0e@v2,4258,other,Other file,True,"192.168.1.0,192.168.1.203,192.168.1.244,192.168.1.250",,0,0,"hydra-mcp,letta,qdrant,prometheus,alertmanager,tabbyapi,ollama"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/33614c87a5cf5a67@v1,312,other,Other file,True,192.168.1.244,,0,0,
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/33614c87a5cf5a67@v2,312,other,Other file,True,192.168.1.244,,0,0,
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/37efd67cbb4804c7@v1,10478,other,Other file,False,,,0,0,
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/37efd67cbb4804c7@v10,12631,other,Other file,False,,,0,0,
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/37efd67cbb4804c7@v11,12980,other,Other file,False,,,0,0,
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/37efd67cbb4804c7@v12,13209,other,Other file,False,,,0,0,
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/37efd67cbb4804c7@v2,10523,other,Other file,False,,,0,0,
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/37efd67cbb4804c7@v3,10536,other,Other file,False,,,0,0,
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/37efd67cbb4804c7@v4,10268,other,Other file,False,,,0,0,
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/37efd67cbb4804c7@v5,10368,other,Other file,False,,,0,0,
